音频,label
chunk0,female_sad
chunk1,female_sad
chunk2,female_sad
chunk3,female_happy
chunk4,female_fearful
chunk5,female_sad
chunk6,female_calm
chunk7,female_sad
chunk8,female_fearful
chunk9,female_sad
chunk10,female_sad
chunk11,female_sad
chunk12,female_fearful
chunk13,female_sad
chunk14,female_sad
chunk15,female_sad
chunk16,female_sad
chunk17,female_sad
chunk18,male_sad
chunk19,male_fearful
chunk20,female_fearful
chunk21,female_sad
chunk22,female_fearful
chunk23,female_fearful
chunk24,female_sad
chunk25,female_sad
chunk26,female_sad
chunk27,female_sad
chunk28,female_fearful
chunk29,female_fearful
chunk30,male_happy
chunk31,female_happy
chunk32,female_sad
chunk33,female_sad
chunk34,female_sad
chunk35,female_sad
chunk36,female_fearful
chunk37,female_sad
chunk38,female_sad
chunk39,female_sad
chunk40,female_sad
chunk41,female_happy
chunk42,female_fearful
